,Name,Pref,dm,l,b,dmmax,deltaDM
0,J0614+83,slr+14,44.0,130.35331573849282,25.8332617584373,57.8222924576823,-13.822292457682302
1,J0645+5158,slr+14,18.247536,163.96294633671343,20.250931627480313,73.36095705995447,-55.113421059954476
2,J0645+80,slr+14,50.0,133.94546192500238,26.464933425938955,56.966566121486764,-6.966566121486764
3,B0643+80,dbtb82,33.31882,133.1777755553112,26.828446287345017,56.241580843481785,-22.922760843481782
4,B0655+64,dth78,8.77387,151.55063376666956,25.23685342737859,60.714103594237535,-51.94023359423753
5,J0738+6904,slr+14,17.22,146.59347272677465,29.37719666659938,53.28049547279396,-36.06049547279396
6,J0740+41,slr+14,20.83,178.17929713817708,26.329461066506234,61.403360113180874,-40.573360113180875
7,J0740+6620,slr+14,14.96177,149.72971628878653,29.599372006308986,53.22516382594632,-38.263393825946316
8,J0747+6646,slr+14,27.576,149.2176637925695,30.282712554902087,52.26391820380321,-24.687918203803207
9,J0750+57,slr+14,27.0,160.55738759682302,30.327073802579488,53.205070839888805,-26.205070839888805
10,J0751+1807,lzc95,30.246,202.72967439341548,21.085843807196653,70.85177279317601,-40.605772793176016
11,B0751+32,dth78,39.9863,188.18726891856807,26.72095137184211,60.469512089344995,-20.483212089344995
12,J0806+08,dsm+13,46.0,213.9195191224238,20.33417584029619,71.32671188755332,-25.326711887553316
13,B0809+74,cp68,5.75066,139.9979361253563,31.61774405758,49.691382416255664,-43.94072241625567
14,J0815+0939,clm+05,52.6589,213.62591097212,22.949593594091635,65.34747901169618,-12.688579011696177
15,B0820+02,mlt+78,23.727,221.98785995564944,21.245349019642575,70.77373715054514,-47.04673715054514
16,J0824+00,dsm+13,35.0,223.57356300117317,20.74912237545288,69.64992012657461,-34.649920126574614
17,B0823+26,cls68,19.47633,196.96277202816717,31.742386258247762,64.87196736496472,-45.39563736496471
18,B0834+06,phbc68,12.864,219.72113625078703,26.272159146325656,58.70807869771822,-45.84407869771822
19,J0843+0719,bjd+06,36.6,219.40006109538945,28.222509963807347,55.72534487558877,-19.125344875588766
20,J0848+16,dsm+13,38.0,210.06046402396063,33.30477397837498,49.877466926025214,-11.877466926025214
21,B0841+80,dtws85,34.8121,132.65449138573953,31.462278572949398,49.31855142722002,-14.506451427220021
22,B0917+63,dtws85,13.15423,151.43113684492124,40.725064697035634,41.78273041836282,-28.62850041836282
23,B0919+06,mlt+78,27.2986,225.4198732192705,36.392432189818415,46.26396118970205,-18.96536118970205
24,J0927+2345,rtj+96,17.24,205.28603156453036,44.20151577240165,40.95309327211227,-23.71309327211227
25,J0928+06,dsm+13,50.0,226.85355618608753,37.601319982126086,45.204530897774255,4.795469102225745
26,J0928+30,ttol16,22.0,195.84836724483938,45.85261378486367,40.22455065527584,-18.22455065527584
27,J0930-2301,kmk+18,78.3,253.93178427739065,20.13809806189516,76.75184460726703,1.5481553927329657
28,J0931-1902,abb+15,41.48841,250.99920689320518,23.05363375602409,67.59619813815696,-26.107788138156963
29,B0940+16,mlt+78,20.3402,216.60921771974336,45.37989675212695,39.972033372819865,-19.631833372819866
30,J0943+2253,tdk+93,27.2508,207.8866428306755,47.458262897493256,38.99726182119185,-11.746461821191847
31,B0942-13,mlt+78,12.497,249.12927578869744,28.842998137755952,56.05079849835594,-43.55379849835594
32,J0944+4106,slr+14,21.41,180.43734531445617,49.37511774558252,38.2958758769836,-16.8858758769836
33,B0943+10,vazs69,15.31845,225.41280530923882,43.12576540092442,41.19715827739979,-25.878708277399788
34,J0947+2740,rtj+96,29.09,201.1419454488887,49.384506149643975,38.16376268576577,-9.073762685765768
35,J0952-0607,bph+17,22.41149,243.65154540747326,35.38011810812928,47.51721993013745,-25.10572993013745
36,B0950+08,phbc68,2.96927,228.90810009922612,43.696544439767656,40.81988885158643,-37.850618851586425
37,J0957-06,kkl+15,26.95,244.7616547658049,36.20148252894734,46.8231806012009,-19.873180601200904
38,J1000+08,mbc+19,21.0,229.73152003751605,45.49837252616357,39.76487784603257,-18.76487784603257
39,J1005+30,ttm+18,17.0,197.9369255875093,53.67311396262581,36.17025247299286,-19.170252472992857
40,J1010+15,dsm+13,42.0,221.25842442286086,50.979622080212536,37.072408192316935,4.927591807683065
41,B1010-23,mlt+78,22.51,262.1312078018698,26.37743827171971,62.87809011696886,-40.36809011696886
42,J1012+5307,nll+95,9.02314,160.34715254989243,50.857842167797635,36.46022117164006,-27.43708117164006
43,B1016-16,dtws85,48.82,258.26125885567626,32.61022959762898,51.967547279596324,-3.147547279596324
44,J1022+1001,cnst96,10.2521,231.79451521536504,51.100668164572824,36.98546340707691,-26.733363407076908
45,J1023+0038,asr+09,14.325,243.4895604679284,45.78226296060158,39.741263143709745,-25.416263143709745
46,J1024-0719,bjb+97,6.4778,251.7015781451082,40.51543855296111,43.51395315683297,-37.03615315683297
47,J1034-3224,mld+96,50.75,272.0503894159444,22.117020803164365,76.79087793364752,-26.040877933647522
48,J1038+0032,bjd+06,26.59,247.15191770286418,48.47055570513065,38.37803765454861,-11.788037654548614
